seq,time_us,ax,ay,az,gx,gy,gz,mx,my,mz,drop_flag
0,110,0.011967691592872143,-0.015738651156425476,-1.0128902196884155,-0.3227784037590027,-0.04888685792684555,0.7134549617767334,28.769372940063477,-10.480302810668945,39.76459884643555,0
1,9928,0.014318550005555153,-0.03371715173125267,-1.0055837631225586,-0.10747961699962616,0.034598927944898605,0.4087010622024536,30.721885681152344,-10.89448356628418,39.49908447265625,0
2,19945,-0.0037232665345072746,-0.017831142991781235,-0.9854631423950195,0.35624510049819946,0.6449605822563171,-0.5761368274688721,28.46320915222168,-11.208269119262695,39.17724609375,0
3,29674,-0.022107955068349838,-0.03677711263298988,-0.9794467091560364,0.33541813492774963,0.7206512689590454,0.4992218315601349,27.465612411499023,-10.813342094421387,38.827796936035156,0
4,39756,0.03402692452073097,0.05221123620867729,-1.027660608291626,0.1997496783733368,0.46983256936073303,0.4963698387145996,29.229074478149414,-10.951131820678711,39.47341537475586,0
5,49800,0.04440688714385033,0.04681552201509476,-0.987389087677002,0.2577059268951416,-0.49875128269195557,-0.011632774956524372,28.62027931213379,-10.216693878173828,38.685874938964844,0
6,59816,0.03691553696990013,-0.06065461412072182,-1.032331943511963,0.1908036172389984,-0.15498198568820953,0.21283280849456787,29.980987548828125,-9.196293830871582,39.66790771484375,0
7,70033,-0.008676363155245781,0.04343150928616524,-0.9912676215171814,-0.23472218215465546,-0.35457196831703186,0.5632120966911316,30.875694274902344,-9.880340576171875,38.94683074951172,0
8,79962,-0.0975634828209877,-0.046907149255275726,-1.0137059688568115,-0.6223331093788147,0.7748202085494995,-0.5491479635238647,28.563623428344727,-11.205475807189941,41.73868179321289,0
9,90154,-0.01208453718572855,0.033544812351465225,-1.00001060962677,-0.2648342251777649,0.6696388125419617,-0.3211570382118225,30.140438079833984,-10.356207847595215,38.780242919921875,0
10,99890,0.08337530493736267,7.555322372354567e-05,-0.9835326671600342,-0.8234388828277588,0.3601994514465332,-0.3806774318218231,32.140838623046875,-7.546323299407959,41.05078887939453,0
11,109924,-0.04210717976093292,0.03181122988462448,-0.973175585269928,1.0693223476409912,-0.049449268728494644,-0.35974445939064026,30.429908752441406,-9.914278030395508,40.39419937133789,0
12,120018,0.0818152129650116,0.027865666896104813,-1.0141804218292236,-0.3862302005290985,-0.05856999009847641,0.25151678919792175,29.295042037963867,-8.266695976257324,40.063758850097656,0
