t_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_gyro,pitch_gyro,yaw_gyro,roll_cf,pitch_cf,yaw_cf,roll_ekf,pitch_ekf,yaw_ekf,roll_madgwick,pitch_madgwick,yaw_madgwick,roll_mahony,pitch_mahony,yaw_mahony
12,0.0141,-0.0407,9.7297,0.9191,-0.2477,-0.3692,30.0614,-11.1107,38.8862,3.2859,-0.9911,-0.3578,1.5187,-0.0487,-0.4789,0.9543,0.2039,0.1638,-0.8506,0.2972,2.2216,-0.1735,0.2028,0.2694
23,-0.083,0.0704,9.8408,-0.4581,-0.3741,-0.4971,29.0344,-11.1544,37.0103,-1.5445,-0.0349,1.2242,-0.4258,0.5823,-0.3589,-0.3202,-0.1988,0.9763,-0.4319,-2.3182,1.9257,0.154,1.9396,0.7663
34,0.0416,0.059,9.8235,0.5998,0.4929,-0.4889,28.9864,-9.7074,39.9452,-1.1387,0.3558,-0.6483,0.0951,1.0113,-0.9978,0.0088,0.5003,0.9358,0.564,1.3064,0.213,0.3703,0.3933,-0.7901
44,-0.2106,0.0471,9.8076,-0.0997,-0.4637,-0.4953,29.7611,-8.5562,38.8072,1.0858,-0.0882,0.336,0.2874,-0.2556,-1.0349,-0.0124,-1.6916,0.3694,0.7728,0.8958,0.4851,0.377,-0.6852,-0.7789
55,-0.0943,0.0266,9.7969,0.1273,-0.3285,0.3278,31.2536,-8.9183,39.0274,0.4686,0.18,0.5066,0.7265,-0.1179,-0.8336,-0.4011,0.5104,-2.1428,-0.6579,-0.5473,-0.1717,0.745,0.417,1.192
69,0.1375,-0.1463,9.7188,-0.1706,-0.0717,-0.0329,29.9475,-11.1261,40.1339,-0.6354,0.4489,1.5307,1.0917,0.8463,-0.0381,-0.0289,-0.1397,2.2991,0.0902,-1.9859,0.5131,-1.9539,0.1675,1.1258
85,-0.1482,0.063,9.7859,-0.1815,0.1045,-0.5093,29.294,-11.9969,39.8497,0.9594,-0.9299,1.7893,-0.207,1.6048,-0.5539,0.5363,-1.1576,-1.467,1.9547,0.5117,0.0664,0.9779,-1.5234,-2.0353
111,0.1605,0.0524,9.7832,0.6729,-0.4665,0.167,32.1378,-11.0534,40.5857,0.0951,-0.2402,-1.5375,-1.2006,0.974,-2.1251,-0.7324,-1.1389,-1.3755,-0.4913,-0.6297,-0.0309,0.1249,0.2899,0.5698
152,0.0337,0.0019,9.8284,-0.9208,-0.1498,-0.613,32.9364,-9.0897,40.9592,1.6264,-0.5655,-1.2954,-1.8508,0.3118,-0.6213,-0.5003,-0.9041,-0.0015,0.8878,1.2736,0.7509,0.1602,-0.8171,1.0692
173,-0.2716,-0.03,9.808,-0.1701,0.303,0.0813,30.0176,-9.494,40.491,0.3262,-0.5867,-0.5953,-0.5327,-0.4662,-1.0057,0.8844,0.0489,-0.1498,1.7557,-0.3694,-0.9689,-0.2093,-0.2443,-1.1264
