time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,roll_cf,pitch_cf,yaw_cf,roll_kf,pitch_kf,yaw_kf
12,0.0637,0.0658,9.7931,0.1363,0.1101,-0.8167,30.2981,-10.5899,39.3537,-0.8092,1.2586,-0.7987,0.0461,-0.9388,1.1962
22,0.0819,0.1116,9.8497,-0.3391,-0.2629,-0.0847,30.1674,-10.1725,38.7772,1.8926,-1.4459,0.3179,1.0784,-0.0437,-1.2434
101,0.0502,-0.0196,9.8181,-0.7855,-0.2533,-1.0234,31.8187,-11.1633,40.0324,-0.6,-1.1366,0.6731,0.3843,-2.0493,-0.3598
111,0.0879,0.0143,9.7959,-0.1996,0.5376,-0.5749,30.1995,-11.5268,40.5691,1.4248,-0.2365,-0.6552,1.2361,0.8565,0.8564
121,0.0584,0.0554,9.8918,0.0997,0.5483,-1.0715,29.2229,-11.4609,41.0544,0.7369,-0.5034,-1.8656,-0.8838,-1.4561,-0.988
132,0.0029,0.0726,9.6728,-0.4006,-0.0493,0.0398,30.1056,-9.098,39.4926,0.3807,-0.4151,1.2277,-0.0143,-1.4215,1.2445
142,0.0027,-0.0601,9.8084,0.0229,0.3433,0.3581,32.01,-10.8428,40.7723,0.8226,-0.776,0.5204,0.4841,-0.0814,0.4043
157,0.1169,0.0855,9.7831,-0.0376,-0.1682,-0.5129,31.0538,-10.6508,39.9662,-0.1126,1.091,-0.3432,0.0895,1.6688,0.6861
173,0.1184,0.0712,9.8174,-0.7516,-0.4862,0.0875,27.8807,-10.7399,39.5204,-0.3791,0.6237,0.4282,0.7731,0.4783,0.8583
184,0.0546,-0.2053,9.7475,-0.0612,0.5345,-0.5427,31.0828,-8.1286,39.6205,-0.2975,0.1146,0.6944,-0.1267,0.0673,0.6544
194,0.0362,-0.0762,9.7505,0.019,0.1538,0.6306,30.1216,-9.7845,38.5977,0.6731,-0.8318,0.0384,0.8655,-0.0567,-2.2604
204,-0.0921,0.0098,9.7105,0.2824,0.9029,-0.6322,29.1597,-10.0487,40.6777,-0.047,-0.3459,-1.1203,1.6563,-0.6434,-0.3926
215,0.266,0.0363,9.7451,0.5045,-0.3448,0.1023,30.2682,-9.6562,40.0447,-0.0156,-0.6087,-2.3624,0.7844,-0.5869,-0.1709
233,0.089,-0.022,9.7473,0.1973,-0.2535,-0.0848,28.8581,-10.821,38.99,0.9929,-0.5106,0.7862,-0.1717,-0.8017,0.0339
245,0.0091,-0.0008,9.7843,0.5821,0.2209,0.0861,31.4537,-12.6666,40.8225,-2.04,0.4296,0.7574,-0.1613,0.1701,1.0772
262,-0.1584,-0.007,9.7656,-1.012,0.3922,1.0451,30.1564,-12.4123,37.988,0.9766,-0.4254,-1.0878,1.0189,-0.2128,-2.0137
273,0.176,0.0108,9.8189,-0.1647,-0.3851,-0.3087,31.2314,-9.5652,38.5881,0.1237,0.0267,1.0615,0.6633,-1.3218,0.2311
