seq,time_us,ax,ay,az,gx,gy,gz,mx,my,mz,roll_gyro,pitch_gyro,yaw_gyro,roll_cf,pitch_cf,yaw_cf,roll_ekf,pitch_ekf,yaw_ekf,roll_madgwick,pitch_madgwick,yaw_madgwick,roll_mahony,pitch_mahony,yaw_mahony,drop_flag
1,12000,0.0033,0.0079,9.78,-0.2456,1.0843,-0.0147,30.9985,-10.9974,38.4887,-0.8776,1.0158,0.3083,0.0021,-1.1591,0.3598,-1.7543,0.2734,-0.0143,0.5762,-1.043,1.061,0.9528,-0.9402,-0.626,0
2,23000,-0.1607,-0.094,9.7792,-0.4341,-0.0408,-0.107,30.8067,-10.9751,40.3429,-0.8036,-1.6973,-0.1061,-0.8692,-1.7418,0.0679,1.6551,-0.5814,-1.3139,-0.4274,0.163,0.2284,0.3585,-0.3847,-0.5617,0
3,36000,-0.0843,-0.1724,9.8413,0.2235,0.4797,-0.5364,30.0792,-10.8208,40.4834,-0.0664,0.502,-1.7947,0.8058,0.2195,0.4585,-1.0059,0.0007,0.5345,0.9171,-0.2134,-1.2226,-0.2266,0.5901,1.106,0
4,46000,0.0497,0.0462,9.7706,-0.7464,0.4972,-0.4409,29.9994,-9.9956,40.5766,0.8269,-1.0546,-0.4461,-0.5435,-1.96,0.1248,-1.4448,-1.1827,0.207,-0.7257,1.6909,-0.2275,-0.7028,2.138,-0.6334,0
5,57000,0.2934,-0.0546,9.7621,0.0293,-0.5898,-0.2011,28.6069,-10.982,39.6132,-0.2858,-0.3443,0.4398,-0.6105,-0.4609,0.8819,-0.1944,0.2581,0.2354,0.0137,0.0485,-1.0328,1.6503,1.3999,1.0738,0
6,67000,-0.088,0.1351,9.8422,0.1748,0.1537,-0.3261,29.3483,-10.8759,41.1624,-0.8136,-1.3604,0.7928,-1.0937,0.7678,-0.3871,-2.3926,-0.1783,0.4808,1.6471,-0.3064,-0.2286,-0.5994,-1.0693,0.8683,0
7,77000,-0.1201,-0.0503,9.7925,-0.1658,-0.5791,-0.4663,29.5446,-9.9253,39.4598,-0.0581,1.6497,0.6431,-0.8136,-0.2422,0.0082,-1.3054,-0.2507,0.2576,-0.5508,0.3258,-0.9131,-0.6087,-0.1033,0.4151,0
8,88000,0.1299,0.0412,9.8251,0.8709,0.6196,0.3303,28.2656,-10.4813,39.7615,1.3345,-0.1392,-0.4842,-1.2685,-0.8688,2.0885,-0.9675,2.0688,-1.1434,-1.1606,-0.4327,-1.7014,0.3622,0.7759,-1.9057,0
9,99000,0.0946,0.0306,9.8624,0.6779,-0.1767,0.1774,29.3707,-8.9,40.8011,-0.9584,-0.2299,-0.1369,0.2322,-2.8662,-0.5321,-0.4708,-1.9869,1.8834,-0.7586,1.7614,1.4857,0.2492,0.8147,0.8998,0
10,109000,0.0035,0.0358,9.7831,0.2245,0.6181,-1.0411,28.0135,-10.2363,39.013,-2.3232,-0.7261,-2.8744,-2.2025,0.5828,0.3857,0.2994,1.0485,1.1145,-0.8386,-0.4697,1.7355,1.2266,0.3166,-0.5069,0
11,120000,-0.0767,-0.0378,9.7694,0.249,-0.1914,-0.1683,30.2122,-10.8805,40.2329,-0.7053,0.6146,-0.5947,1.4091,-1.0333,-1.5355,0.951,0.5414,-0.4227,0.3196,-0.1039,0.5401,0.8492,-0.7493,-1.1506,0
12,131000,0.0707,-0.0638,9.8584,-0.1074,0.3359,-0.0373,29.5755,-10.1892,40.209,-1.2165,0.8818,-1.611,-0.0959,-0.0314,1.3269,0.0793,0.4812,-1.0733,-0.9499,1.1561,-0.6318,0.6651,0.6716,1.0674,0
13,142000,-0.1589,0.0144,9.8371,0.4262,0.5801,-0.6609,28.836,-10.0289,40.0558,0.6479,-1.1532,1.1518,1.2514,0.1032,1.1567,1.0428,0.3294,-0.221,0.1756,0.066,-1.3039,-0.1054,0.4648,-1.3831,0
14,153000,-0.0642,-0.0972,9.7737,0.0147,-0.267,-0.7539,29.2021,-9.1705,39.4776,-1.365,0.2944,-0.1412,-0.4403,-3.5051,-0.1163,-0.0968,-0.3384,-0.0574,-0.3437,0.3647,2.0722,-0.8781,-0.1761,0.2441,0
15,164000,0.008,-0.0886,9.7244,-0.424,0.2355,-0.2869,28.3561,-9.2935,41.6483,-0.5565,-1.3765,0.1403,0.5913,-0.0765,0.6201,-0.0701,-0.7754,0.6662,0.501,0.4727,1.8645,-0.6808,-1.3934,-1.1337,0
16,174000,0.1072,-0.1018,9.7168,-0.4758,-0.2157,-0.1103,29.4524,-10.7928,41.225,-0.4431,-0.279,0.3238,0.0777,2.363,0.0269,0.6241,-0.0345,0.7868,-0.8146,0.2306,0.0061,1.2072,-0.0485,-0.938,0
17,185000,0.0379,-0.0309,9.7794,0.5051,-0.0729,-0.0542,30.6968,-9.064,38.1429,-1.0846,-1.7296,0.1953,-2.0305,0.6141,-0.0765,0.6719,-0.8779,0.8353,0.9889,0.5174,-1.1353,0.9129,-1.6534,0.8177,0
18,195000,-0.0883,-0.0266,9.7737,-0.0499,-0.9413,0.2118,29.8752,-9.7823,39.2505,-0.5953,-0.4352,0.0179,0.6887,0.5147,-1.0128,-1.2573,0.2416,-0.4598,-0.3627,-0.9594,-0.6354,-1.0461,-1.2035,2.1757,0
19,210000,0.1606,0.16,9.8193,-0.0071,0.5713,-0.8787,28.8659,-9.612,40.6309,1.5114,1.1093,-1.0058,0.067,-0.4039,-0.3453,0.0877,-2.1809,0.7025,-0.1254,0.0549,0.43,0.0762,0.3365,-0.3322,0
20,221000,-0.0903,0.056,9.7747,-0.2246,0.2364,-0.2165,31.0991,-10.7213,38.8237,-0.4324,-0.9374,-0.2323,0.1108,-2.1381,-1.1324,-0.1055,1.3822,0.4024,1.2185,0.4997,0.1706,0.5173,-1.3054,1.5805,0
21,231000,-0.0812,-0.2139,9.8354,-0.2384,-0.0541,-0.1811,29.0235,-9.1327,38.0597,-0.5535,0.3999,0.3811,-0.3713,-1.8385,-0.6386,-1.0798,1.8226,-0.4851,-0.1447,0.0304,1.1075,-0.4481,0.4872,-0.258,0
22,242000,0.1484,-0.0437,9.7603,-0.8359,-0.3645,-0.0052,29.7081,-9.7308,39.8792,0.8918,0.2059,0.2128,1.189,-0.8935,0.221,2.0794,-1.8595,-0.5506,-0.6469,0.5153,0.1599,0.5404,-0.0524,-0.5736,0
23,253000,0.1317,0.0517,9.8218,-0.2722,-0.6759,-0.2866,29.2194,-9.3066,39.6545,1.0156,-1.0351,1.1579,0.2389,0.0752,-1.4877,-0.1485,-0.3376,0.7271,-0.1112,0.2368,0.353,-0.6119,0.2771,0.8908,0
24,263000,-0.1247,-0.0454,9.7985,0.446,-0.2156,0.0193,29.2264,-9.6089,38.3778,-1.5241,0.9416,1.1755,-0.151,-0.6614,0.4704,1.1135,-2.7191,0.688,-1.0902,0.6138,-0.6125,-1.1646,0.8153,0.814,0
25,274000,0.0473,0.1275,9.7413,0.3525,1.0431,1.3228,29.8336,-9.5951,39.9399,1.6711,1.578,0.6193,0.5051,-1.4295,0.4999,0.8585,0.6298,-2.2988,-1.3209,-0.4825,-0.6373,0.7666,0.8085,-2.2516,0
26,284000,0.0544,0.0108,9.7704,-0.7393,0.5194,0.4361,30.2847,-8.766,40.0383,1.6446,1.9689,1.2877,-0.5139,0.9885,0.1304,0.2192,-0.9364,-1.3802,-0.1166,-1.2643,0.7424,-1.1652,2.7994,1.6812,0
27,295000,-0.0368,0.0828,9.7146,-0.9206,-0.1937,-0.3002,29.9601,-11.9945,40.6829,0.646,-0.7853,1.032,2.234,0.8111,0.0447,-0.7745,0.2754,-0.6195,-0.6336,1.4127,-1.3527,0.2048,0.4393,1.7213,0
28,309000,0.0232,-0.04,9.8472,-0.1803,-0.1703,0.1415,28.7914,-11.6444,38.8331,1.058,-0.385,0.1978,0.969,-1.0107,-0.0882,1.0431,-0.1003,1.0287,-2.098,-0.7555,1.6206,-0.7774,-0.4139,-0.3057,0
29,320000,0.0257,-0.043,9.7508,-0.8682,-0.5968,-0.1267,29.5145,-9.7002,39.6726,-1.1875,-0.8151,0.3055,0.3048,-1.0803,-0.2085,0.8973,0.1112,-0.0547,0.4608,-0.4232,0.8137,0.2504,1.1763,-0.6466,0
30,331000,-0.0142,-0.0463,9.8174,-0.1443,0.0572,0.1421,30.218,-10.5232,37.8698,-0.2356,0.2348,-0.9131,0.3019,0.1429,0.1458,-0.4372,-2.169,-0.9164,0.6657,0.1701,0.185,-1.2736,-1.2302,0.344,0
31,342000,0.0848,-0.0293,9.821,0.4197,0.6571,0.3061,29.0548,-10.296,39.663,-1.6947,-1.2147,0.8269,-0.2211,1.687,1.085,-0.1903,0.8859,0.546,-1.3297,-1.4062,-0.7929,-0.3037,-1.2494,-0.3706,0
32,352000,0.0732,-0.091,9.6634,-0.5414,-0.4934,0.2667,29.9822,-10.7125,40.0648,0.4178,2.4738,-1.3589,0.6415,0.0854,1.6438,-1.103,0.2342,1.1555,-0.0427,1.3797,-0.1396,0.5225,-0.9822,-0.6698,0
33,363000,0.1765,0.0235,9.7976,-0.1955,0.4874,-0.2182,31.0542,-11.0008,38.1175,-0.4029,0.6076,0.5928,-2.4415,0.9248,1.8509,-1.5005,-0.3287,0.8845,1.0828,0.6113,0.6836,-0.5609,-0.7169,1.2398,0
34,430000,0.1203,0.1135,9.7426,-0.2649,0.1914,-0.5448,30.9401,-9.0424,40.237,0.6973,-0.1827,-1.1644,1.1616,-0.4427,0.0486,-0.6638,0.6033,-0.3455,-1.7984,1.1341,-0.7901,-0.6433,0.6044,-0.6224,0
35,466000,-0.0196,-0.0472,9.7529,0.068,0.205,0.3237,29.205,-11.0007,38.7068,-0.1258,0.6266,-0.9059,-0.2066,-0.0864,0.6771,-1.332,-0.4695,-2.8797,-0.6734,-1.5064,0.6435,-1.097,0.0292,0.1356,0
